epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,20853.1,1.48686,1.01154,1.13999,0.82519,0.71215,0.78499,0.43127,1.4831,0.94624,1.16733,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,21533.1,1.50653,1.00563,1.1305,0.8088,0.71093,0.78145,0.42536,1.48837,0.94436,1.1609,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,22204.5,1.51032,0.99473,1.12529,0.8328,0.71328,0.7975,0.43406,1.49575,0.93136,1.16121,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,22876.3,1.48386,0.96634,1.12688,0.82854,0.69703,0.78564,0.42734,1.50484,0.92663,1.16684,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,23552.7,1.4951,0.98446,1.14358,0.81794,0.72739,0.78477,0.41567,1.52451,0.94711,1.18388,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,24236.7,1.50409,0.98843,1.12757,0.82766,0.70666,0.79032,0.424,1.51219,0.92306,1.17938,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,24904.7,1.47493,0.96988,1.13174,0.82106,0.70032,0.78971,0.43131,1.50246,0.93332,1.17402,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,25584.6,1.48196,0.95447,1.11683,0.80754,0.72254,0.79667,0.43293,1.49937,0.91204,1.17261,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,55397.2,1.44616,0.94952,1.12374,0.82008,0.71372,0.79657,0.43026,1.50852,0.92414,1.18279,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,56325.5,1.4623,0.93101,1.11106,0.82749,0.71725,0.79067,0.42796,1.5069,0.91368,1.17624,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
