epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1140.04,1.8925,2.95789,1.41278,0.01838,0.60079,0.09107,0.04552,1.58483,3.10013,1.23317,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085
2,1982.8,1.82878,1.79061,1.36205,0.71892,0.57389,0.6187,0.30963,1.6341,1.90821,1.23951,0.00370635,0.00123545,0.00370635,0.00123545,0.00370635,0.00123545,0.00370635,0.00123545
3,2723.02,1.73902,1.52877,1.26117,0.7396,0.64023,0.68392,0.34357,1.60088,1.47149,1.23134,0.00518044,0.00172681,0.00518044,0.00172681,0.00518044,0.00172681,0.00518044,0.00172681
4,3420.96,1.67706,1.41539,1.2104,0.79697,0.63388,0.72571,0.37514,1.56924,1.38134,1.21783,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
5,4145.39,1.6398,1.33789,1.20493,0.76158,0.68337,0.74164,0.38122,1.53782,1.30494,1.18736,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
6,4933.89,1.57012,1.34248,1.1774,0.80081,0.64729,0.7348,0.39147,1.51478,1.2881,1.17246,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
7,5672.69,1.57186,1.27331,1.16313,0.81164,0.67622,0.75728,0.40248,1.51827,1.20995,1.17803,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
8,6342.55,1.53443,1.21001,1.15149,0.81804,0.66784,0.75369,0.39871,1.50867,1.17919,1.17206,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
9,7040.01,1.51793,1.144,1.14672,0.80888,0.67397,0.76878,0.40121,1.50626,1.16441,1.16404,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
